Container_Write_Time,Process_Write_Time,VM_Write_Time,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMajorPGFault,cMemoryMaxUsed,cMemoryUsed,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,cPGFault,currentTime,pMetricType,vBootTime,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vKernelInfo,vLoadAvg,vMajorPageFault,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent,vPgFault
0.040715,0.00428,0.191386,163249021,8,17,0,0,0,"8c030dff71f7",0,0,622592,0,0,0,0,6501,2,"Process level",0,126100,1015,-23.8537500000002,0,0,29,1,0,9,4,20.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,60,6,3720,496,2,2,5,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.45,12,16,-10178,7143,0,"VM Level",0,0,7043
0.013438,0.00296,0.17753,148566168,6,22,0,0,0,"8c030dff71f7",0,0,462848,0,0,0,0,6435,1,"Process level",0,131600,997,328.4025,0,0,25,0,0,6,3,19,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,8,0,1,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.5,0,0,139,-1732,0,"VM Level",0,0,6558
0.017754,0.002515,0.182646,114202285,8,31,0,0,0,"8c030dff71f7",0,0,180224,0,0,0,0,6468,1,"Process level",0,279500,969,-229.030875,0,0,36,0,0,9,2,27,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.5,0,0,-17,2830,0,"VM Level",0,0,9177
0.015412,0.002561,0.170415,135768196,12,62,0,0,0,"8c030dff71f7",0,0,233472,0,0,0,0,6468,1,"Process level",0,678900,935,-371.60975,0,0,75.9999999999,0,0,13,1,62.99999999994,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.5,0,0,22508,-25137,0,"VM Level",0,0,7891
0.013687,0.002544,0.168335,149394800,7,23,0,0,0,"8c030dff71f7",0,0,356352,0,0,0,0,6468,2,"Process level",0,443100,975,469.247,0,0,29.0000000001,0,0,3,4,26,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.5,0,0,11514,-11977,0,"VM Level",0,0,6744
0.018186,0.002531,0.183244,137471160,8,29,0,0,0,"8c030dff71f7",0,0,73728,0,0,0,0,6435,1,"Process level",0,248800,978,-198.57375,0,0,37.0000000001,1,0,9,6,28.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,19,0,0,168,0,2,4,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.46,0,9,-25899,27705,0,"VM Level",0,0,6637
0.018187,0.002532,0.183625,133889424,11,36,0,0,0,"8c030dff71f7",0,0,-151552,0,0,0,0,6468,1,"Process level",0,630800,969,434.5761249999998,0,0,43,0,0,13,2,30,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.46,0,0,61,-897,0,"VM Level",0,0,7344
0.016355,0.003245,0.169321,126674106,8,35,0,0,0,"8c030dff71f7",0,0,331776,0,0,0,0,6468,1,"Process level",0,943500,919,-437.3097499999997,0,0,50.0000000001,0,0,7,3,42,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.46,0,0,6042,3531,0,"VM Level",0,0,6981
0.042105,0.004938,0.185413,163821975,11,34,0,0,0,"8c030dff71f7",0,0,331776,0,0,0,0,6468,2,"Process level",0,786300,973,-6.8511250000001,0,0,47,1,0,11,1,37.99999999994,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,15,0,0,360,0,19,13,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.46,0,16,1085,-274,0,"VM Level",0,0,6557
0.012941,0.002526,0.178725,118942110,9,25,0,0,0,"8c030dff71f7",0,0,-299008,0,0,0,0,6435,1,"Process level",0,179100,975,51.075375,0,0,33,0,0,9,4,24,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,0,-13779,14168,0,"VM Level",0,0,6593
